scrape_id,shoe_sku,price,discount_1_text,discount_1_weighted,discount_2_text,discount_2_weighted,discount_3_text,discount_3_weighted,uk_size_5,uk_size_5_5,uk_size_6,uk_size_6_5,uk_size_7,uk_size_7_5,uk_size_8,uk_size_8_5,uk_size_9,uk_size_9_5,uk_size_10,page_ranking,website,scrape_time
22041500,1HK1162031VCH,1199,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,0,0,0,0,0,1,15/4/2025
22041501,108JH8643,799,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,2,1,1,15/4/2025
22041502,108JI0196,799,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,0,0,0,0,0,0,2,1,15/4/2025
22041503,1HK1162031WWH,1199,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,0,0,0,0,3,1,15/4/2025
22041504,1HK1162031BBLC,1199,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,0,0,0,0,4,1,15/4/2025
22041505,150A11863C,599,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,1,0,0,0,0,0,0,0,0,0,0,5,1,15/4/2025
22041506,150A13465C,699,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,0,0,0,0,0,0,0,0,0,0,6,1,15/4/2025
22041507,150A13469C,549,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,1,0,0,0,0,0,0,0,0,0,7,1,15/4/2025
22041508,150A13470C,549,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,1,1,0,8,1,15/4/2025
22041509,150A11861C,599,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,0,0,0,0,0,0,0,0,0,0,9,1,15/4/2025
22041510,150A13467C,699,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,1,1,0,10,1,15/4/2025
