shoe_sku,shoe_name,shoe_brand,shoe_type,shoe_gender
1HK1147850BBLC,Arahi 7,Hoka,Running Shoes,Men
1HK1147790BWHT,Mach 6,Hoka,Running Shoes,Men
1HK1123074SCV,Solimar,Hoka,Running Shoes,Men
1HK1147870FTG,Arahi 7 Wide,Hoka,Running Shoes,Men
1HK1155130FTLT,Rincon 4,Hoka,Running Shoes,Men
1MLJ006393,Hut Moc 2 Packable,Merrell,Sandals,Men
1HK1147850EGR,Arahi 7,Hoka,Running Shoes,Men
1HK1155119FCT,Mach x 2,Hoka,Running Shoes,Men
1HK1141470FBBLC,Clifton 9 GORE-TEX,Hoka,Running Shoes,Men
1HK1141570ORZ,Ora Primo,Hoka,Sneakers,Unisex
1HK1147830PTYB,Speedgoat 6 Wide,Hoka,Hiking Shoes,Men
1HK1155350BLTR,Stinson EVO OG,Hoka,Trail Running Shoes,Unisex
1HK1162011GCTC,Bondi 9,Hoka,Running Shoes,Men
1HK1134532STLLT,Restore TC,Hoka,Casual Footwear,Unisex
1HK1155370BWHT,Clifton One9,Hoka,Casual Footwear,Unisex
1HK1162011WWH,Bondi 9,Hoka,Running Shoes,Men
1HK1162850SSTST,Project Transport,Hoka,Casual Footwear,Unisex
1HK1162011FNF,Bondi 9,Hoka,Running Shoes,Men
1HK1147790BBLC,Mach 6,Hoka,Running Shoes,Men
1HK1147790FTG,Mach 6,Hoka,Running Shoes,Men
1HK1162011OLTM,Bondi 9,Hoka,Running Shoes,Men
1HK1155350SHK,Stinson EVO OG,Hoka,Hiking Shoes,Unisex
1HK1147952BBLC,Tor Summit,Hoka,Hiking Shoes,Unisex
1HK1123190BBLC,Kaha 2 Low GORE-TEX,Hoka,Hiking Shoes,Men
