scrape_id,shoe_sku,price,discount_1_text,discount_1_weighted,discount_2_text,discount_2_weighted,discount_3_text,discount_3_weighted,uk_size_5,uk_size_5_5,uk_size_6,uk_size_6_5,uk_size_7,uk_size_7_5,uk_size_8,uk_size_8_5,uk_size_9,uk_size_9_5,uk_size_10,page_ranking,website,scrape_time
0125041400,1HK1147850BBLC,1199.0,10% Off,90,No Discount,100,No Discount,100,0,2,1,2,2,2,1,1,2,1,0,0,0,2025-04-14
0125041401,1HK1147790BWHT,1099.0,10% Off,90,No Discount,100,No Discount,100,0,2,2,1,2,1,2,2,2,2,0,1,0,2025-04-14
0125041402,1HK1123074SCV,0.0,No Discount,100,No Discount,100,No Discount,100,0,1,1,1,1,1,1,1,1,1,0,2,0,2025-04-14
0125041403,1HK1147870FTG,1199.0,10% Off,90,No Discount,100,No Discount,100,0,1,2,2,2,2,2,1,1,1,0,3,0,2025-04-14
0125041404,1HK1155130FTLT,999.0,10% Off,90,No Discount,100,No Discount,100,0,0,2,2,2,2,2,2,2,2,0,4,0,2025-04-14
0125041405,1MLJ006393,0.0,No Discount,100,No Discount,100,No Discount,100,0,2,0,1,0,1,0,1,0,1,0,5,0,2025-04-14
0125041406,1HK1147850EGR,1199.0,10% Off,90,No Discount,100,No Discount,100,0,0,1,2,2,2,2,2,2,1,0,6,0,2025-04-14
0125041407,1HK1155119FCT,1599.0,10% Off,90,No Discount,100,No Discount,100,0,0,1,2,1,2,2,2,1,2,2,7,0,2025-04-14
0125041408,1HK1141470FBBLC,1399.0,10% Off,90,No Discount,100,No Discount,100,0,2,2,2,2,1,1,1,1,1,0,8,0,2025-04-14
0125041409,1HK1141570ORZ,999.0,No Discount,100,No Discount,100,No Discount,100,1,1,2,2,2,2,1,2,0,1,0,9,0,2025-04-14
0125041410,1HK1147830PTYB,1299.0,10% Off,90,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,1,2,1,10,0,2025-04-14
0125041411,1HK1155350BLTR,1499.0,10% Off,90,No Discount,100,No Discount,100,0,2,2,2,2,2,1,2,2,2,2,11,0,2025-04-14
0125041412,1HK1162011GCTC,1499.0,10% Off,90,No Discount,100,No Discount,100,0,1,2,1,2,2,1,1,1,1,0,12,0,2025-04-14
0125041413,1HK1134532STLLT,899.0,10% Off,90,No Discount,100,No Discount,100,0,2,0,2,0,2,0,1,0,1,0,13,0,2025-04-14
0125041414,1HK1155370BWHT,1199.0,10% Off,90,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,2,2,2,14,0,2025-04-14
0125041415,1HK1162011WWH,1499.0,10% Off,90,No Discount,100,No Discount,100,0,1,2,2,2,2,2,2,2,2,0,15,0,2025-04-14
0125041416,1HK1162850SSTST,1299.0,No Discount,100,No Discount,100,No Discount,100,0,1,1,1,1,1,1,1,1,1,0,16,0,2025-04-14
0125041417,1HK1162011FNF,1499.0,10% Off,90,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,2,2,2,17,0,2025-04-14
0125041418,1HK1147790BBLC,1099.0,10% Off,90,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,2,2,0,18,0,2025-04-14
0125041419,1HK1147790FTG,1099.0,10% Off,90,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,2,2,1,19,0,2025-04-14
0125041420,1HK1162011OLTM,1499.0,10% Off,90,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,2,2,1,20,0,2025-04-14
0125041421,1HK1155350SHK,1499.0,No Discount,100,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,2,2,2,21,0,2025-04-14
0125041422,1HK1147952BBLC,1699.0,No Discount,100,No Discount,100,No Discount,100,0,2,2,2,2,1,2,1,1,1,0,22,0,2025-04-14
0125041423,1HK1123190BBLC,0.0,No Discount,100,No Discount,100,No Discount,100,0,2,2,2,2,1,1,1,1,1,1,23,0,2025-04-14
